benchmark,model,task_id,favoured,favoured_right,own_right,debate_right,informed_right,informed_follows,debate_matches,favoured_differs_from_own
arc,qwen25_1p5b,arc-test-Mercury_405161,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_405387,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_405804,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_405873,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_405876,D,True,False,False,False,False,False,True
arc,qwen25_1p5b,arc-test-Mercury_407019,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_407097,B,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_407517,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_407664,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_410026,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_410602,C,False,False,False,False,True,False,False
arc,qwen25_1p5b,arc-test-Mercury_412681,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_415081,C,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_416379,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_416505,D,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_416536,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_416683,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_417138,A,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_417460,B,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_417593,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7001295,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7016765,B,False,False,False,False,True,False,True
arc,qwen25_1p5b,arc-test-Mercury_7017973,C,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7024798,C,False,False,False,False,True,False,True
arc,qwen25_1p5b,arc-test-Mercury_7026355,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7026723,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7032515,C,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7033828,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7033845,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7038518,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7041423,A,True,False,False,True,True,False,True
arc,qwen25_1p5b,arc-test-Mercury_7041650,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7056298,A,True,False,False,True,True,False,True
arc,qwen25_1p5b,arc-test-Mercury_7064260,A,False,False,True,True,False,False,True
arc,qwen25_1p5b,arc-test-Mercury_7068635,A,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7072380,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7081743,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7082320,A,True,False,False,True,True,False,True
arc,qwen25_1p5b,arc-test-Mercury_7085278,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7094133,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7102323,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7108868,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7123078,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7126263,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7127943,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7142520,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7159023,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7159250,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7164623,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7168805,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7171430,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7171570,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7175875,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7186358,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7186568,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7188528,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7192798,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7198468,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7200340,D,True,False,False,True,True,False,True
arc,qwen25_1p5b,arc-test-Mercury_7201740,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_7203473,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-LEAP_2002_4_10247,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-LEAP__5_10312,B,True,False,True,True,True,True,True
arc,smollm2_1p7b,arc-test-LEAP__7_10339,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MCAS_1998_8_24,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-MCAS_1998_8_26,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MCAS_2000_4_30,A,False,False,True,False,True,False,False
arc,smollm2_1p7b,arc-test-MCAS_2000_8_22,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MCAS_2004_8_7,A,False,True,True,False,True,False,True
arc,smollm2_1p7b,arc-test-MCAS_2005_5_24,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MCAS_2006_8_13,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MCAS_2006_9_1,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MCAS_2009_5_6519,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MCAS_2011_8_15365,C,True,False,True,True,True,True,True
arc,smollm2_1p7b,arc-test-MCAS_2012_5_23625,B,False,False,False,False,True,True,True
arc,smollm2_1p7b,arc-test-MCAS_2013_8_29416,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MCAS_2014_5_13,A,False,False,False,False,True,False,True
arc,smollm2_1p7b,arc-test-MDSA_2007_5_16,A,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-MDSA_2008_8_20,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-MDSA_2009_5_25,B,True,True,False,True,True,False,False
arc,smollm2_1p7b,arc-test-MDSA_2011_5_3,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MDSA_2012_8_6,C,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-MEAP_2005_5_14,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-MEAP_2005_5_15,B,True,False,False,False,False,False,True
arc,smollm2_1p7b,arc-test-MEAP_2005_8_13,D,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-MEAP_2005_8_45,A,False,False,True,False,True,False,False
arc,smollm2_1p7b,arc-test-MEA_2010_8_18,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-MEA_2013_5_12,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-MEA_2013_5_15,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MEA_2013_8_1,A,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-MEA_2014_5_11,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MEA_2016_8_12,B,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-MSA_2012_5_12,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-MSA_2013_5_11,A,False,False,False,False,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_176855,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_184730,C,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_184975,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_185010,A,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_192220,D,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_400443,A,False,True,False,False,True,True,True
arc,smollm2_1p7b,arc-test-Mercury_400780,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_400828,C,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_400887,B,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_401433,C,False,False,True,False,True,False,False
arc,smollm2_1p7b,arc-test-Mercury_401502,C,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_401699,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_401926,D,True,False,True,True,True,True,True
arc,smollm2_1p7b,arc-test-Mercury_402364,C,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_403232,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_403930,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_404097,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_404894,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_405161,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_405387,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_405804,D,True,False,True,True,True,True,True
arc,smollm2_1p7b,arc-test-Mercury_405873,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_405876,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_407019,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_407097,B,False,False,False,False,True,False,False
arc,smollm2_1p7b,arc-test-Mercury_407517,C,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_407664,D,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_410026,D,True,False,True,True,True,True,True
arc,smollm2_1p7b,arc-test-Mercury_410602,C,False,False,False,False,True,True,True
arc,smollm2_1p7b,arc-test-Mercury_412681,C,True,True,False,True,True,False,False
arc,smollm2_1p7b,arc-test-Mercury_415081,C,False,False,False,False,True,True,True
arc,smollm2_1p7b,arc-test-Mercury_416379,A,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_416505,D,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_416536,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_416683,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_417138,A,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_417460,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_417593,A,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_7001295,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7016765,B,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7017973,C,False,True,True,False,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_7024798,C,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7026355,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7026723,D,True,False,True,True,True,True,True
arc,smollm2_1p7b,arc-test-Mercury_7032515,C,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7033828,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7033845,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7038518,D,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_7041423,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7041650,D,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_7056298,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7064260,A,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7068635,A,False,False,False,False,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7072380,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7081743,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7082320,A,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_7085278,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7094133,D,True,False,True,True,True,True,True
arc,smollm2_1p7b,arc-test-Mercury_7102323,C,False,False,True,True,False,False,False
arc,smollm2_1p7b,arc-test-Mercury_7108868,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7123078,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7126263,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7127943,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7142520,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7159023,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7159250,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7164623,C,True,False,False,False,False,False,True
arc,smollm2_1p7b,arc-test-Mercury_7168805,B,True,False,False,True,True,False,True
arc,smollm2_1p7b,arc-test-Mercury_7171430,B,True,True,False,True,True,False,False
arc,smollm2_1p7b,arc-test-Mercury_7171570,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7175875,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7186358,C,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7186568,B,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7188528,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7192798,D,False,False,True,False,True,False,False
arc,smollm2_1p7b,arc-test-Mercury_7198468,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7200340,D,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7201740,A,True,True,True,True,True,True,False
arc,smollm2_1p7b,arc-test-Mercury_7203473,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-LEAP_2002_4_10247,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-LEAP__5_10312,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-LEAP__7_10339,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MCAS_1998_8_24,B,False,True,True,False,True,False,True
arc,granite33_2b,arc-test-MCAS_1998_8_26,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MCAS_2000_4_30,A,False,True,False,False,True,True,True
arc,granite33_2b,arc-test-MCAS_2000_8_22,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MCAS_2004_8_7,A,False,False,True,False,True,False,False
arc,granite33_2b,arc-test-MCAS_2005_5_24,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MCAS_2006_8_13,C,True,False,True,True,True,True,True
arc,granite33_2b,arc-test-MCAS_2006_9_1,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MCAS_2009_5_6519,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MCAS_2011_8_15365,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MCAS_2012_5_23625,B,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-MCAS_2013_8_29416,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MCAS_2014_5_13,A,False,False,False,False,True,False,True
arc,granite33_2b,arc-test-MDSA_2007_5_16,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MDSA_2008_8_20,D,False,True,True,False,True,False,True
arc,granite33_2b,arc-test-MDSA_2009_5_25,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MDSA_2011_5_3,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MDSA_2012_8_6,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MEAP_2005_5_14,B,False,False,False,False,True,False,True
arc,granite33_2b,arc-test-MEAP_2005_5_15,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MEAP_2005_8_13,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MEAP_2005_8_45,A,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-MEA_2010_8_18,C,True,True,False,True,True,False,False
arc,granite33_2b,arc-test-MEA_2013_5_12,B,False,True,True,False,True,False,True
arc,granite33_2b,arc-test-MEA_2013_5_15,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MEA_2013_8_1,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MEA_2014_5_11,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MEA_2016_8_12,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MSA_2012_5_12,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-MSA_2013_5_11,A,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-Mercury_176855,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_184730,C,False,True,False,False,True,False,True
arc,granite33_2b,arc-test-Mercury_184975,B,False,False,False,False,False,False,True
arc,granite33_2b,arc-test-Mercury_185010,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_192220,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_400443,A,False,True,False,False,True,True,True
arc,granite33_2b,arc-test-Mercury_400780,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_400828,C,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-Mercury_400887,B,True,False,False,True,True,False,True
arc,granite33_2b,arc-test-Mercury_401433,C,False,True,True,True,False,False,True
arc,granite33_2b,arc-test-Mercury_401502,C,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-Mercury_401699,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_401926,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_402364,C,False,False,False,False,True,False,True
arc,granite33_2b,arc-test-Mercury_403232,B,False,False,False,False,True,False,True
arc,granite33_2b,arc-test-Mercury_403930,B,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-Mercury_404097,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_404894,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_405161,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_405387,B,True,True,False,True,True,False,False
arc,granite33_2b,arc-test-Mercury_405804,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_405873,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_405876,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_407019,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_407097,B,False,False,False,False,True,False,True
arc,granite33_2b,arc-test-Mercury_407517,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_407664,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_410026,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_410602,C,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-Mercury_412681,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_415081,C,False,False,False,True,False,False,True
arc,granite33_2b,arc-test-Mercury_416379,A,True,False,False,True,True,False,True
arc,granite33_2b,arc-test-Mercury_416505,D,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-Mercury_416536,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_416683,C,True,False,False,True,True,False,True
arc,granite33_2b,arc-test-Mercury_417138,A,False,False,False,False,True,False,True
arc,granite33_2b,arc-test-Mercury_417460,B,False,False,False,False,True,False,False
arc,granite33_2b,arc-test-Mercury_417593,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7001295,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7016765,B,False,True,True,False,True,False,True
arc,granite33_2b,arc-test-Mercury_7017973,C,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-Mercury_7024798,C,False,False,False,True,False,False,False
arc,granite33_2b,arc-test-Mercury_7026355,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7026723,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7032515,C,False,False,False,False,False,True,False
arc,granite33_2b,arc-test-Mercury_7033828,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7033845,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7038518,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7041423,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7041650,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7056298,A,True,False,False,True,True,False,True
arc,granite33_2b,arc-test-Mercury_7064260,A,False,True,True,False,True,False,True
arc,granite33_2b,arc-test-Mercury_7068635,A,False,False,False,False,True,True,False
arc,granite33_2b,arc-test-Mercury_7072380,B,True,False,False,True,True,False,True
arc,granite33_2b,arc-test-Mercury_7081743,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7082320,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7085278,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7094133,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7102323,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7108868,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7123078,D,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7126263,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7127943,A,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7142520,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7159023,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7159250,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7164623,C,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7168805,B,True,True,True,True,True,True,False
arc,granite33_2b,arc-test-Mercury_7171430,B,True,True,False,False,False,False,False
